#待校
#聲旁無字的字型優先順序爲：聲旁>人/口+聲旁>其他
#一般從省的聲旁的字型優先順序爲：聲旁省>聲旁>人/口+聲旁省>其他
#從省產生混淆的不採用混淆的字型
#聲旁本字後來添加了其它部首的字型優先順序和從省的省旁一樣處理
#####從省的#####
匘	𡿺
歸	㱕
學	𦥯
辭	辤
殺	杀
咶	舌
處	処
嘆	𦰩
哉	𢦏
穆	㣎
蟲	虫
#####從省從古字型編外的#####
尊	寸
昷	𥁕
#孝老	耂
#農	莀
憂	㥑
#共	廾
#殿	凥
釐	𠩺
罔	网
難嘆	𦰩
#散	㪔
鑿	凿
竟兢競	竞
綌	卻
#化	𠤎
肇	肁
秭	𠂔
親	辛
麗	丽
羅	䍜
冥幂	冖
鼓	壴
晃	光
宮	宫
差	左
䏌	屑
曇	昙
獸	嘼
眾	乑
繁緐	䋣
緜	綿
熊	能
蠱	蛊
熒	𤇾
府	付
殷	㐆
儥	𧶠
雙	双
畫	画
龜	龟
黽	黾
咶	舌
#####從上級聲旁的#####
吾	五
冒	冃
蚤	㕚
翠	卒
考	丂
遂	㒸
筆	聿
崇	宗
科#委	禾
奉夆豐封邦逢	丰
蒙	冡
#尌	豆
#重童	東
屬	蜀
最聚	取
悤#㚇	囪	㚇從布之道、裘錫圭說
從	从
空巩貢	工
#斛	角
卷	龹
數	婁
庸#甬	用
貫	毌
否#丕咅	不
背	北
#卞	弁
盆#彬	分
費	弗
薨	瞢
任	壬
在	才
吏事	史
賊	則
朁兓	兂
愛㤅既	旡
酓含侌禽岑	今
右㞢#圣灰有	又
員袁睘	〇
波	皮
番	釆
發癹	癶
孟	皿
#莽	茻
屠諸署暑豬著#都書	者
黨堂敞當	尚
到#召	刀
然	肰
虘助#查	且
將臧壯牆	爿
霜	相
蔡	祭
固胡辜居	古
渠	巨
英	央
#阿哥奇	可
旱	干
晏	安
匽	妟
#丐曷	匄
獻	鬳
艾#辥豙枿	乂
肴	爻
矍瞿	䀠
廣	黃
㞷狂#匡	王
咼#叧	冎
雚	雈
宛	夗
厥	欮
閭	呂
盧虜慮膚虎虖虛豦#乎	虍
路客	各
與舁	与
達羍	大
除#舍	余
閻	臽
毘坒比	匕
鼻	畀
密宓謐#瑟	必
致室	至
圼	日
#津盡	隶
新	辛
稽耆	旨
殹	医
弦	玄
幼幽	幺
屖	尸
繇	䍃
崩	朋
敝	㡀
派#覓	𠂢
寧	寍
#責	朿
前	歬
韱	㦰
嬰	賏
鬩	兒
#㓞	丯
#垚	堯
厭	猒
歷厤	秝
#聖廷呈戜	𡈼
聖	呈
枼	世
霸	䩗
國	或
條	攸
闌	柬
御卸	午
義	我
衛	韋
鹽	監
施	也
市蚩臺志	之
等特時	寺
尃	甫
亭定#正成	丁
#式代	弋
#庶度席橐宕	石
亶	旦
#春	屯
#風	凡
#布	父
嚴	敢
#喬	高
弘穹躬	弓
景	京
局	句
收	丩
麥猌	來
胥楚	疋
巟	亡
感	咸
烕	戌
忽	勿
#羌	羊
哀	衣
夜	亦
恩	因
#雩夸亏粵	于
雩	亏
完	元
字	子
褱鰥	眔
遺	貴
#君	尹
屈	出
#專惠	叀
閔吝	文
禁	林
#台	㠯
㠯	以
#普	並
旁	方
#百	白
匿	若
脅	劦
劉留	卯
廉	兼
#䜌	聯
#賴	剌
#危	厃
#亨	享
#包	勹
追垖	𠂤
道	首
每敏毋	母
#㚅	夅
約	勺
切	七
剝	彔
#匀軍訇	旬
#鄉	卿
#彥產炭	厂
#厓	圭
參	彡
#康唐	庚
#啇	帝
#壹	吉
夋#舜	允
奴如	女
宣	亘
#憲	害
翁松#容	公
肖#少雀	小
翕弇#荅	合
忝	天
#青星省	生
朔	屰
歲	戉
#乞	气
裘	求
#穌魯	魚
#兹	絲
#耶	牙
#臤	臣
#素	索	同字分化
#袞	㕣
#赫	赤
節	即
#守	肘
#####替代的#####筆畫繁複的單字，有異體的單字，不常見的單字，構型不明的單字
#磊累厽雷	畾
無	无
爾	尒
褭	鳥
厲	厉
萬	万
塵	尘
要	幺
#####同形的#####
唯椎淮崔#隼	隹
橇	毳
奔賁	卉
噩	咢
